id,bandId,indicatorId
11874,38,1747
11880,38,1748
11886,38,1749
11892,38,1750
11898,38,1751
11904,38,1752
11910,38,1753
11916,38,1754
11922,38,1755
11928,38,1756
11934,38,1757
11940,38,1758
11946,38,1759
11952,38,1761
11958,38,1762
11964,38,1763
11970,38,1764
11976,38,1765
11982,38,1766
11988,36,1767
11994,38,1769
12000,34,1771
12006,36,1773
12012,36,1774
12018,36,1775
12024,36,1776
12030,35,1777
12036,35,1778
12042,36,1779
12048,36,1780
12054,36,1781
12060,36,1782
12066,36,1783
12072,36,1784
12078,36,1785
12084,39,1786
12090,36,1787
12096,36,1788
12102,36,1789
12108,36,1790
12114,36,1791
12120,36,1792
12126,36,1793
12132,39,1794
12138,36,1795
12144,36,1796
12150,36,1797
12156,36,1798
12162,36,1799
12168,36,1800
12174,36,1801
12180,36,1802
12186,36,1803
12192,36,1804
12198,35,1805
12204,36,1806
12210,36,1807
12216,36,1808
12222,36,1809
12228,36,1810
12234,36,1811
12240,35,1812
12246,36,1813
12252,36,1814
12258,36,1815
12264,36,1816
12270,35,1817
12276,34,1819
12282,34,1820
12288,34,1821
12294,34,1822
12300,34,1823
12306,34,1824
12312,32,1825
12318,34,1827
12324,32,1828
12330,33,1829
12336,64,1830
12342,34,1831
12348,32,1832
12354,34,1833
12366,31,1835
12372,32,1837
12378,34,1838
12384,32,1839
12396,36,1841
12402,34,1842
12408,34,1844
12414,34,1845
12420,34,1846
12426,39,1847
12432,37,1848
12438,39,1849
12444,39,1850
12450,37,1851
12456,39,1852
12462,39,1853
12468,39,1854
12474,37,1855
12480,37,1856
12486,37,1857
12492,37,1858
12498,37,1859
12504,37,1860
12510,37,1861
12516,37,1865
12522,37,1866
12528,37,1867
12534,37,1868
12540,37,1869
12546,39,1871
12552,39,1872
12558,39,1873
12564,39,1874
12570,39,1875
12576,39,1876
12582,39,1877
12588,39,1878
12594,39,1879
12600,39,1880
12606,39,1881
12612,39,1882
12618,39,1883
12648,39,1889
12666,35,1892
12672,39,1894
12678,39,1895
12684,39,1896
12690,39,1897
12696,39,1898
12702,39,1899
12708,39,1900
12714,39,1901
12720,39,1902
12726,39,1903
12732,39,1904
12738,39,1905
12744,39,1906
12750,39,1907
12756,39,1908
12762,39,1909
12768,39,1910
12774,39,1911
12780,39,1912
12786,39,1913
12792,39,1914
12798,39,1915
12804,39,1916
12810,39,1917
12816,39,1918
12822,39,1919
12828,34,1921
12835,34,1923
12841,34,1924
12847,34,1925
12853,33,1928
12859,34,1929
12865,33,1930
12883,34,1933
12889,34,1936
12895,34,1939
12901,34,1940
12907,34,1941
12913,34,1942
12919,34,1943
12925,34,1944
12931,38,1948
12937,38,1949
12943,38,1950
12949,38,1951
12955,38,1952
12961,38,1953
12967,38,1954
12973,38,1955
12979,38,1956
12985,38,1958
12991,38,1959
12997,38,1960
13003,38,1961
13009,38,1962
13015,38,1963
13021,38,1964
13027,38,1965
13033,38,1966
13039,38,1967
13045,38,1968
13051,38,1970
13057,38,1971
13063,38,1972
13069,38,1973
13075,38,1974
13081,38,1976
13087,38,1977
13093,38,1978
13097,36,1922
13098,38,1920
13099,36,1926
13100,36,1927
13101,38,1969
13102,39,1893
13103,39,1884
13104,38,1975
13105,37,1863
13106,39,1979
13107,36,1818
13108,36,1772
13109,36,1836
13110,37,1934
13111,38,1957
13112,34,1935
13114,53,1885
13117,56,1890
13119,37,1937
13120,37,1870
13121,36,1843
13122,36,1768
13123,36,1938
13124,36,1760
13125,37,1864
13126,36,1826
13127,38,1770
13128,36,1945
13129,34,1946
13130,36,1947
13131,37,1862
13132,21,1835
13133,11,1835
13134,22,1825
13135,12,1825
13136,22,1828
13137,12,1828
13138,22,1832
13139,12,1832
13140,22,1837
13141,12,1837
13142,22,1839
13143,12,1839
13146,23,1829
13147,13,1829
13148,23,1928
13149,13,1928
13150,23,1930
13151,13,1930
13156,24,1771
13157,14,1771
13158,24,1819
13159,14,1819
13160,24,1820
13161,14,1820
13162,24,1821
13163,14,1821
13164,24,1822
13165,14,1822
13166,24,1823
13167,14,1823
13168,24,1824
13169,14,1824
13170,24,1827
13171,14,1827
13172,63,1830
13174,24,1831
13175,14,1831
13176,24,1833
13177,14,1833
13180,24,1838
13181,14,1838
13182,24,1842
13183,14,1842
13184,24,1844
13185,14,1844
13186,24,1845
13187,14,1845
13188,24,1846
13189,14,1846
13190,24,1921
13191,14,1921
13192,24,1923
13193,14,1923
13194,24,1924
13195,14,1924
13196,24,1925
13197,14,1925
13198,24,1929
13199,14,1929
13200,24,1933
13201,14,1933
13202,24,1935
13203,14,1935
13204,24,1936
13205,14,1936
13206,24,1939
13207,14,1939
13208,24,1940
13209,14,1940
13210,24,1941
13211,14,1941
13212,24,1942
13213,14,1942
