id,department,classification,municipality,municipalCapital,latitude,longitude,altitude,northCoordinate,eastCoordinate,origin
1,AMAZONAS,MUNICIPIO,LETICIA,LETICIA,S 4°12'47{COM},W69°59' 9{COM},82,25493,1121589,ESTE
2,AMAZONAS,CORREGIMIENTO,EL ENCANTO,EL ENCANTO,S 1°46'51{COM},W73°12'19{COM},158,294507,1097437,BOGOTA
3,AMAZONAS,CORREGIMIENTO,LA CHORRERA,LA CHORRERA,S 1°26'59{COM},W72°47'46{COM},184,331103,1142996,BOGOTA
4,AMAZONAS,CORREGIMIENTO,LA PEDRERA,LA PEDRERA,S 1°19'17{COM},W69°34'50{COM},82,345283,833079,ESTE-ESTE
5,AMAZONAS,CORREGIMIENTO,LA VICTORIA,PACOA,N 0° 3'30{COM},W71°14'14{COM},200,497897,982599,ESTE
6,AMAZONAS,CORREGIMIENTO,MIRITÍ-PARANÁ,CAMPOAMOR,NO ES POSIBLE,,0,0,0,
7,AMAZONAS,CORREGIMIENTO,PUERTO ALEGRÍA,PUERTO ALEGRIA,S 1° 1' 6{COM},W74° 2'53{COM},200,378844,1003658,BOGOTA
8,AMAZONAS,CORREGIMIENTO,PUERTO ARICA,PUERTO ARICA,S 2° 8' 8{COM},W71°44'20{COM},150,255290,926801,ESTE
9,AMAZONAS,MUNICIPIO,PUERTO NARIÑO,PUERTO NARIÑO,S 3°47'23{COM},W70°21'16{COM},100,72357,1080700,ESTE
10,AMAZONAS,CORREGIMIENTO,SANTANDER,ARARACUARA,S 0°36'16{COM},W72°23'11{COM},200,424593,854665,ESTE
11,AMAZONAS,CORREGIMIENTO,TARAPACÁ,TARAPACA,S 2°53'59{COM},W69°44'40{COM},100,170719,1148606,ESTE
12,ANTIOQUIA,MUNICIPIO,MEDELLÍN,MEDELLIN,N 6°14'49{COM},W75°34'37{COM},1475,1182469,834420,BOGOTA
13,ANTIOQUIA,MUNICIPIO,ABEJORRAL,ABEJORRAL,N 5°47'36{COM},W75°25'52{COM},2275,1132248,850440,BOGOTA
14,ANTIOQUIA,MUNICIPIO,ABRIAQUÍ,ABRIAQUI,N 6°38' 7{COM},W76° 4' 2{COM},1900,1225294,1112103,OESTE
15,ANTIOQUIA,MUNICIPIO,ALEJANDRÍA,ALEJANDRIA,N 6°22'49{COM},W75° 8'39{COM},1750,1197100,882357,BOGOTA
16,ANTIOQUIA,MUNICIPIO,AMAGÁ,AMAGA,N 6° 2'29{COM},W75°42'29{COM},1400,1159693,1152003,OESTE
17,ANTIOQUIA,MUNICIPIO,AMALFI,AMALFI,N 6°54'38{COM},W75° 4'49{COM},1500,1255738,889545,BOGOTA
18,ANTIOQUIA,MUNICIPIO,ANDES,ANDES,N 5°39'31{COM},W75°52'51{COM},1350,1117309,1132961,OESTE
19,ANTIOQUIA,MUNICIPIO,ANGELÓPOLIS,ANGELOPOLIS,N 6° 6'50{COM},W75°42'46{COM},1950,1167712,1151460,OESTE
20,ANTIOQUIA,MUNICIPIO,ANGOSTURA,ANGOSTURA,N 6°53'20{COM},W75°20'18{COM},1675,1253409,861012,BOGOTA
21,ANTIOQUIA,MUNICIPIO,ANORÍ,ANORI,N 7° 4'35{COM},W75° 9' 3{COM},1550,1274098,881787,BOGOTA
22,ANTIOQUIA,MUNICIPIO,ANZÁ,ANZA,N 6°18'22{COM},W75°51'25{COM},625,1188936,1135448,OESTE
23,ANTIOQUIA,MUNICIPIO,APARTADÓ,APARTADO,N 7°53' 9{COM},W76°38' 5{COM},28,1363509,1049206,OESTE
24,ANTIOQUIA,MUNICIPIO,ARBOLETES,ARBOLETES,N 8°51'27{COM},W76°26' 1{COM},6,1471010,1071208,OESTE
25,ANTIOQUIA,MUNICIPIO,ARGELIA,ARGELIA,N 5°44' 3{COM},W75° 8'47{COM},1700,1125636,881970,BOGOTA
26,ANTIOQUIA,MUNICIPIO,ARMENIA,ARMENIA,N 6° 9'22{COM},W75°47'17{COM},1500,1172362,1143114,OESTE
27,ANTIOQUIA,MUNICIPIO,BARBOSA,BARBOSA,N 6°26'19{COM},W75°19'60{COM},1305,1203600,861439,BOGOTA
28,ANTIOQUIA,MUNICIPIO,BELLO,BELLO,N 6°20'20{COM},W75°33'44{COM},1447,1192636,836079,BOGOTA
29,ANTIOQUIA,MUNICIPIO,BELMIRA,BELMIRA,N 6°36'29{COM},W75°40'14{COM},2550,1222390,1155986,OESTE
30,ANTIOQUIA,MUNICIPIO,BETANIA,BETANIA,N 5°44'53{COM},W75°58'46{COM},1500,1127180,1122015,OESTE
31,ANTIOQUIA,MUNICIPIO,BETULIA,BETULIA,N 6° 7' 0{COM},W75°59'16{COM},1600,1167949,1121011,OESTE
