id,operatorId,telephonyTypeId,code,baseValue,bandOk,vatIncluded,vatValue
1,1,4,07,0,1,0,16
2,60,3,,0,1,0,16
21,1,5,007,0,1,0,16
22,21,2,03,0,1,0,20
23,22,2,03,0,1,0,20
25,21,4,0456,396,0,1,16
26,21,5,00456,1296,0,1,16
44,44,4,05,0,1,0,16
46,44,5,005,0,1,0,16
47,45,4,09,0,1,0,16
49,45,5,009,0,1,0,16
61,56,2,03,0,1,0,20
63,61,6,01,0,1,0,16
64,59,7,,0,0,0,0
65,59,8,,0,0,0,0
66,59,9,,0,0,0,0
67,1,10,007,0,1,0,16
68,44,10,005,0,1,0,16
69,45,10,009,0,1,0,16
70,23,2,03,0,1,0,20
72,60,12,,0,1,0,16
74,61,2,03,0,1,0,20
75,62,2,0,0.140000001,0,0,0
76,65,3,,0.024,0,0,0
78,61,13,01,0,0,0,0
79,63,7,,0,0,0,0
80,63,8,,0,0,0,0
81,63,9,,0,0,0,0
82,65,12,,0.056000002,0,0,0
83,69,4,0,0.112000003,1,0,0
84,70,4,0,0.112000003,1,0,0
85,71,4,0,0.112000003,1,0,0
86,68,2,0,0.140000001,0,0,0
87,67,2,0,0.140000001,1,0,0
88,72,13,1,0,1,0,0
89,72,6,1,0,1,0,0
90,70,5,00,0,1,0,0
91,70,10,00,0,1,0,0
92,69,5,00,0,1,0,0
93,69,10,00,0,1,0,0
94,75,2,0,0,1,0,0
95,74,2,0,0,1,0,0
96,79,2,0,0,1,0,0
97,76,2,0,0,1,0,0
98,77,2,0,0,1,0,0
99,78,2,0,0,1,0,0
100,80,2,0,0,1,0,0
101,73,4,0,0.170000002,0,0,0
102,73,5,00,1.128319979,1,0,0
103,81,13,0,0,0,0,0
104,82,3,,0,0,0,0
105,82,12,,0,0,0,0
106,83,4,1,2,0,0,0
107,84,3,,1,0,0,0
108,84,12,,1,0,0,0
109,85,2,1,3,0,0,0
110,88,2,15,0.449999988,0,1,0
111,87,5,00,1.720000029,0,1,0
112,86,4,0,0.0173,0,0,0
113,89,3,,0.02,0,1,0
114,92,2,09,121,0,1,0
115,91,5,1230,46.52999878,0,1,0
116,91,5,1711230,46.52999878,0,1,0
117,91,5,1881230,46.52999878,0,1,0
118,91,5,1191230,46.52999878,0,1,0
119,90,4,123,24,0,1,0
120,90,4,171,24,0,1,0
121,90,4,188,24,0,1,0
122,90,4,119,24,0,1,0
123,93,3,,14,0,1,0
125,96,2,6,0.140000001,0,1,0
126,95,5,0,2.230000019,0,1,0
127,94,4,0,0.150000006,0,1,0
128,97,3,,0.02,0,1,0
129,98,2,9,0.670000017,1,1,19
130,100,5,00,4.199999809,1,0,19
131,99,4,0,0.839999974,0,0,19
132,101,3,,0.419999987,0,0,19
133,102,3,,2,0,1,0
134,103,5,00,6,0,1,0
135,104,4,0,4,0,1,0
136,105,2,06,0.162,0,1,0
137,107,5,00,0.324000001,0,1,0
138,106,4,0,0.092799999,0,1,0
139,108,3,,0.07,0,1,0
141,109,2,044,1.789999962,0,1,0
142,111,5,,4.989999771,0,1,0
143,110,4,01,0.699999988,0,1,0
144,112,3,,1.029999971,0,1,0
145,113,4,9,0.059999999,0,1,0
146,59,14,,0,0,0,0
147,63,14,,0,0,0,0
148,114,7,,0,0,0,0
149,114,14,,0,0,0,0
150,114,8,,0,0,0,0
151,114,9,,0,0,0,0
152,115,7,,0,0,0,0
153,115,14,,0,0,0,0
154,115,8,,0,0,0,0
155,115,9,,0,0,0,0
156,116,7,,0,0,0,0
157,116,14,,0,0,0,0
158,116,8,,0,0,0,0
159,116,9,,0,0,0,0
160,117,7,,0,0,0,0
161,117,14,,0,0,0,0
162,117,8,,0,0,0,0
163,117,9,,0,0,0,0
164,118,7,,0,0,0,0
165,118,14,,0,0,0,0
166,118,8,,0,0,0,0
167,118,9,,0,0,0,0
168,119,7,,0,0,0,0
169,119,14,,0,0,0,0
170,119,8,,0,0,0,0
171,119,9,,0,0,0,0
172,120,7,,0,0,0,0
173,120,14,,0,0,0,0
174,120,8,,0,0,0,0
175,120,9,,0,0,0,0
176,122,7,,0,0,0,0
177,122,14,,0,0,0,0
178,122,8,,0,0,0,0
179,122,9,,0,0,0,0
180,123,7,,0,0,0,0
181,123,14,,0,0,0,0
182,123,8,,0,0,0,0
183,123,9,,0,0,0,0
184,124,7,,0,0,0,0
185,124,14,,0,0,0,0
186,124,8,,0,0,0,0
187,124,9,,0,0,0,0
188,125,13,0,0,1,0,0
189,125,6,0,1,1,0,19
190,126,11,,0,1,0,0
191,20,11,,0,0,0,0
192,127,11,,0,0,0,0
193,100,10,00,18.48999977,1,0,19
194,128,2,9,0.949999988,1,0,19
195,129,2,9,0.699999988,1,0,19
196,135,7,,0,0,0,0
197,135,14,,0,0,0,0
198,135,8,,0,0,0,0
199,135,9,,0,0,0,0
200,130,2,6,10,0,1,0
201,130,2,7,10,0,1,0
202,132,4,2,10,0,1,0
203,134,13,800,0,0,0,0
204,134,6,900,0,0,0,0
205,134,6,801,0,0,0,0
206,131,5,00,100,0,1,0
207,1,2,03,0,1,0,20
208,136,4,60,250,0,0,16
209,44,2,03,0,1,0,20
