id,indicatorId,initialNumber,finalNumber,company,ndc
1388,1930,177,177,EXCLUSIVO SPRINT,1
1390,1930,199,199,EXCLUSIVO AT,1
1391,1930,456,456,EXCLUSIVO AT,1
1393,1930,201,203,,1
1394,1930,205,210,,1
1395,1930,212,219,,1
1396,1930,224,224,,1
1397,1930,225,225,,1
1398,1930,228,228,,1
1399,1930,229,229,,1
1400,1930,231,231,,1
1401,1930,234,234,,1
1402,1930,240,240,,1
1403,1930,248,248,,1
1404,1930,252,254,,1
1405,1930,256,256,,1
1406,1930,262,262,,1
1407,1930,267,267,,1
1408,1930,270,270,,1
1409,1930,278,278,,1
1410,1930,281,281,,1
1411,1930,301,305,,1
1412,1930,307,310,,1
1413,1930,312,321,,1
1414,1930,323,323,,1
1415,1930,330,330,,1
1416,1930,331,331,,1
1417,1930,334,334,,1
1418,1930,336,336,,1
1419,1930,337,337,,1
1420,1930,341,341,,1
1421,1930,485,485,,1
1422,1930,500,500,,1
1423,1930,501,505,,1
1424,1930,507,510,,1
1425,1930,512,512,,1
1426,1930,513,513,,1
1427,1930,515,518,,1
1428,1930,520,520,,1
1429,1930,530,530,,1
1430,1930,540,540,,1
1431,1930,541,541,,1
1432,1930,559,559,,1
1433,1930,561,561,,1
1434,1930,562,562,,1
1435,1930,564,564,,1
1436,1930,570,570,,1
1437,1930,571,571,,1
1438,1930,573,573,,1
1439,1930,580,580,,1
1440,1930,586,586,,1
1441,1930,601,603,,1
1442,1930,605,610,,1
1443,1930,612,612,,1
1444,1930,614,619,,1
1445,1930,623,623,,1
1446,1930,626,626,,1
1447,1930,628,628,,1
1448,1930,630,630,,1
1449,1930,631,631,,1
1450,1930,636,636,,1
1451,1930,646,646,,1
1452,1930,650,650,,1
1453,1930,651,651,,1
1454,1930,657,657,,1
1455,1930,660,662,,1
1456,1930,669,669,,1
1457,1930,678,678,,1
1458,1930,679,679,,1
1459,1930,701,704,,1
1460,1930,706,708,,1
1461,1930,710,710,,1
1462,1930,712,720,,1
1463,1930,724,724,,1
1464,1930,727,727,,1
1465,1930,732,732,,1
1466,1930,734,734,,1
1467,1930,740,740,,1
1468,1930,747,747,,1
1469,1930,752,752,,1
1470,1930,757,757,,1
1471,1930,760,760,,1
1472,1930,763,765,,1
1473,1930,770,770,,1
1474,1930,773,773,,1
1475,1930,775,775,,1
1476,1930,781,781,,1
1477,1930,785,785,,1
1478,1930,786,786,,1
1479,1930,801,806,,1
1480,1930,810,810,,1
1481,1930,812,818,,1
1482,1930,828,828,,1
